# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.666667,0.023517,-0.000000,0.000000,3.097531,-1.209461,-1.748171,-0.494639,1.297457,0.901097,0.000000,0.000000,-4.847487,1.961861,2.789433,0.777689,-2.081953,1.144418,-0.000000,-0.000000,0.944782,-0.358895,-0.526120,-0.151047,0.388216,0.059831,-0.000000,-0.000000,-0.512537,0.292794,0.353159,0.074437,-0.295001
0.666667,0.504699,1.376531,-0.087501,-1.858470,0.761646,0.705229,0.138424,-0.555850,0.166089,-2.048125,0.348409,2.996403,-1.260435,-1.193957,-0.267178,0.885009,1.293638,0.433957,-0.000326,-0.561717,0.232967,0.219233,0.049411,-0.160938,0.001580,-0.110044,0.206856,0.239436,-0.275601,-0.201662,-0.011194,0.193722
0.666667,1.055777,0.148897,-0.810837,0.284316,-0.416088,-0.233111,0.027348,0.263162,-0.534519,0.071329,1.098198,-1.135931,0.272016,0.268778,0.080086,-0.157070,1.486171,0.117341,-0.151593,0.214047,-0.056937,-0.057881,-0.018063,0.032865,0.020457,0.069407,-0.144166,-0.118794,0.139753,0.105157,0.008348,-0.097893
0.666667,0.783827,-1.093172,-1.233682,0.120155,0.575775,0.393999,0.007472,-0.392506,-0.248486,0.575618,0.151015,0.172679,-0.200987,-0.149519,-0.008983,0.141604,1.541913,0.081890,-0.009464,-0.074857,0.005690,0.013170,0.005036,-0.008752,0.003912,-0.065278,0.056515,0.093924,-0.052956,-0.049128,-0.010787,0.036623
0.666667,-0.314355,-1.741648,0.646121,0.737316,0.069180,-0.113144,-0.116514,-0.020515,0.201650,0.701255,-0.117632,-0.102058,0.075090,0.056194,-0.007902,-0.081127,1.572909,-0.012185,-0.114261,-0.031808,-0.016058,0.002532,0.010092,0.010432,-0.002393,0.038004,0.026896,-0.076369,-0.004754,0.008693,0.010005,0.004633
0.666667,-0.982488,-0.031488,1.568036,-0.413345,-0.427595,-0.276390,0.021957,0.328386,0.603423,0.496732,-0.202769,-0.259767,-0.274581,-0.116779,0.046631,0.173727,1.503236,-0.209090,-0.154445,0.068550,0.093096,0.054369,-0.006803,-0.064343,0.013624,-0.014257,-0.070307,0.040908,0.032566,0.016303,-0.005221,-0.024456
0.666667,-0.528761,0.947498,-0.244654,-0.381560,0.058672,0.108581,0.046680,-0.061478,0.712135,-0.417143,-1.181937,-0.033597,0.353587,0.293045,0.038625,-0.256868,1.336697,-0.204500,0.193911,0.073290,-0.027018,-0.038086,-0.012763,0.026679,-0.008318,-0.017911,0.063556,0.000188,-0.031541,-0.022558,-0.000166,0.024040
0.666667,-0.092497,0.288427,-0.561295,0.109071,0.009256,0.015138,0.000438,-0.022888,-0.004428,-1.456699,-0.033858,0.664735,0.206915,0.018462,-0.089720,-0.127655,1.298351,0.088443,0.191560,-0.059211,-0.017648,-0.008679,0.005075,0.018412,0.000236,0.022062,-0.021026,-0.018958,0.019406,0.016166,0.001609,-0.015462
0.666667,-0.114839,-0.302336,-0.335614,0.045391,0.091120,0.069607,0.004619,-0.067283,-0.765695,-0.501401,1.283231,-0.115665,-0.333853,-0.261907,-0.014042,0.270549,1.421801,0.250744,0.066313,0.012517,0.014538,0.005460,-0.003682,-0.011107,0.005180,-0.000515,0.002714,0.007277,-0.019462,-0.013365,0.000753,0.015733
0.666667,-0.428475,-0.550256,0.032018,0.159946,0.054808,0.016505,-0.000481,-0.002177,-0.649743,0.556171,0.092186,-0.382718,0.048875,0.100737,0.056086,-0.030868,1.624762,0.368737,0.104664,-0.023062,-0.055345,-0.040429,-0.008588,0.024781,0.003582,-0.013197,-0.028493,0.009209,0.036884,0.023241,-0.002916,-0.029569
0.666667,-0.720861,-0.214764,0.539522,0.361556,0.214739,0.047082,-0.074723,-0.145485,-0.325351,0.351561,-0.163618,0.314289,0.110880,0.021018,-0.046424,-0.088615,1.894711,0.380459,-0.165751,-0.229897,-0.110021,-0.019506,0.039735,0.069160,-0.006791,0.007285,0.066734,-0.010848,-0.065956,-0.045190,0.001601,0.051503
0.666667,-0.483579,1.139233,1.351043,-0.305179,-0.725423,-0.517659,-0.020150,0.516840,-0.055165,0.613489,0.440304,-0.184371,-0.331393,-0.218231,0.000440,0.224950,1.989800,-0.222835,-0.667742,0.103625,0.304398,0.229170,0.014061,-0.226043,0.008686,-0.008088,-0.117570,-0.022018,0.091821,0.073253,0.006152,-0.071618
0.666667,0.602968,1.464389,-1.357994,-1.086533,0.203018,0.432536,0.206623,-0.214515,0.413895,0.485023,-0.835373,-0.480180,0.119268,0.220923,0.094548,-0.125503,1.653485,-0.515685,0.446812,0.454440,-0.069590,-0.162934,-0.086362,0.065264,-0.031351,-0.052183,0.120468,0.089725,-0.090012,-0.087953,-0.018302,0.072114
0.666667,0.756385,-1.095741,-1.689099,1.118601,0.538988,0.238167,-0.097504,-0.374121,0.277299,-0.911919,-0.890027,0.512354,0.244204,0.112082,-0.039507,-0.164767,1.603962,0.414455,0.611945,-0.515854,-0.267799,-0.111589,0.052629,0.184181,-0.012761,0.064382,-0.055517,-0.151099,0.060630,0.079091,0.027649,-0.050349
0.666667,-0.286009,-1.289330,1.367578,0.450105,-0.206934,-0.305287,-0.107314,0.210083,-0.524521,-1.147830,0.545274,0.288458,0.031723,-0.059626,-0.047216,0.021000,1.947202,0.269744,-0.799248,-0.140708,0.254966,0.258925,0.059981,-0.205792,-0.017412,-0.070228,-0.019003,0.177856,-0.014119,-0.049791,-0.029968,0.016023
0.666667,-0.482589,0.631786,1.074410,-0.642064,-0.184889,-0.050775,0.054708,0.117398,-0.966429,-0.081881,0.948289,-0.026566,-0.087857,-0.107610,-0.029157,0.084265,1.807801,-0.504695,-0.024952,0.622663,0.058095,-0.092406,-0.100552,-0.027161,-0.031017,0.061836,0.107050,-0.147894,-0.032111,0.005984,0.020993,0.019621
0.666667,0.194343,1.054345,-0.366445,-0.224932,-0.199899,-0.095559,0.016738,0.108424,-0.636579,0.965421,0.488662,-0.329335,-0.266722,-0.153467,0.018292,0.182011,1.633630,0.173700,0.728455,-0.416754,-0.275304,-0.140300,0.032950,0.188049,0.011401,0.003874,-0.140177,0.053125,0.045059,0.026803,-0.003136,-0.032790
0.666667,0.623473,0.014402,-1.283076,-0.333915,0.231085,0.321498,0.116250,-0.208066,0.066000,0.836477,-0.778444,-0.355923,0.141970,0.233942,0.099652,-0.134180,1.890747,0.266045,-0.637236,-0.279106,0.153081,0.214527,0.081244,-0.132507,-0.022341,-0.054948,0.065677,0.047127,-0.020405,-0.029122,-0.011176,0.017950
