t,x,y,z,yaw
0.000,1.000,0.000,1.500,-0.003
1.030,-0.010,-0.102,1.989,-0.000
2.060,-0.996,0.018,1.459,-0.003
3.100,0.255,0.281,1.107,-0.003
4.130,0.887,-0.170,1.657,0.005
5.170,-0.712,-0.302,1.680,-0.016
6.200,-0.402,0.433,1.351,0.010
7.240,0.999,-0.020,1.503,0.001
8.270,-0.521,-0.425,1.465,-0.018
9.310,-0.412,0.436,1.631,0.020
10.340,0.975,-0.098,1.447,0.016
11.370,-0.810,-0.224,1.310,-0.015
12.410,0.186,0.301,1.888,-0.013
13.440,0.499,-0.190,1.111,0.013
14.480,-0.907,0.051,1.704,0.025
15.510,0.991,0.003,1.566,0.016
16.550,-0.824,0.047,1.221,0.015
17.580,0.517,-0.157,1.898,0.047
18.620,-0.215,0.269,1.092,0.010
19.650,-0.066,-0.354,1.852,-0.013
20.680,0.274,0.403,1.238,-0.024
21.720,-0.380,-0.432,1.667,-0.077
22.750,0.443,0.442,1.428,-0.062
23.790,-0.415,-0.455,1.479,-0.076
24.820,0.348,0.454,1.617,-0.082
25.860,-0.179,-0.441,1.282,-0.027
26.890,-0.035,0.393,1.809,0.015
27.930,0.346,-0.301,1.140,0.030
28.960,-0.652,0.179,1.834,0.146
30.000,0.922,-0.054,1.314,0.001
