t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,yaw
0.000,0.750,0.000,1.250,0.000,0.000,1.125,-1.688,-0.450,0.000,0.000,0.000,0.000,0.000
0.010,0.750,-0.000,1.261,-0.017,-0.005,1.125,-1.688,-0.450,-0.027,0.000,0.000,0.000,0.000
0.020,0.750,-0.000,1.273,-0.034,-0.009,1.125,-1.688,-0.450,-0.053,0.000,0.000,0.000,0.000
0.030,0.749,-0.000,1.284,-0.051,-0.013,1.124,-1.687,-0.449,-0.080,0.000,0.000,0.000,0.000
0.040,0.749,-0.000,1.295,-0.068,-0.018,1.124,-1.687,-0.449,-0.107,0.000,0.000,0.000,0.000
0.050,0.748,-0.001,1.306,-0.084,-0.022,1.123,-1.686,-0.448,-0.133,0.000,0.000,0.000,0.000
0.060,0.747,-0.001,1.317,-0.101,-0.027,1.121,-1.684,-0.447,-0.160,0.000,0.000,0.000,0.000
0.070,0.746,-0.001,1.329,-0.118,-0.031,1.120,-1.682,-0.445,-0.187,0.000,0.000,0.000,0.000
0.080,0.745,-0.001,1.340,-0.135,-0.036,1.118,-1.680,-0.444,-0.213,0.000,0.000,0.000,0.000
0.090,0.743,-0.002,1.351,-0.152,-0.040,1.116,-1.677,-0.442,-0.240,0.000,0.000,0.000,0.000
0.100,0.742,-0.002,1.362,-0.169,-0.045,1.114,-1.674,-0.440,-0.267,0.000,0.000,0.000,0.000
0.110,0.740,-0.003,1.373,-0.185,-0.049,1.111,-1.671,-0.438,-0.293,0.000,0.000,0.000,0.000
0.120,0.738,-0.003,1.384,-0.202,-0.053,1.108,-1.667,-0.436,-0.320,0.000,0.000,0.000,0.000
0.130,0.736,-0.004,1.395,-0.219,-0.058,1.105,-1.663,-0.434,-0.346,0.000,0.000,0.000,0.000
0.140,0.733,-0.004,1.406,-0.235,-0.062,1.101,-1.658,-0.431,-0.372,0.000,0.000,0.000,0.000
0.150,0.731,-0.005,1.417,-0.252,-0.066,1.098,-1.653,-0.428,-0.399,0.000,0.000,0.000,0.000
0.160,0.728,-0.006,1.428,-0.268,-0.071,1.094,-1.648,-0.425,-0.425,0.000,0.000,0.000,0.000
0.170,0.726,-0.006,1.439,-0.285,-0.075,1.090,-1.642,-0.422,-0.451,0.000,0.000,0.000,0.000
0.180,0.723,-0.007,1.450,-0.301,-0.079,1.085,-1.636,-0.418,-0.477,0.000,0.000,0.000,0.000
0.190,0.720,-0.008,1.461,-0.318,-0.083,1.081,-1.629,-0.414,-0.503,0.000,0.000,0.000,0.000
0.200,0.716,-0.009,1.472,-0.334,-0.087,1.076,-1.623,-0.410,-0.529,0.000,0.000,0.000,0.000
0.210,0.713,-0.010,1.483,-0.350,-0.092,1.070,-1.615,-0.406,-0.554,0.000,0.000,0.000,0.000
0.220,0.709,-0.011,1.493,-0.367,-0.096,1.065,-1.608,-0.402,-0.580,0.000,0.000,0.000,0.000
0.230,0.706,-0.012,1.504,-0.383,-0.100,1.059,-1.600,-0.398,-0.605,0.000,0.000,0.000,0.000
0.240,0.702,-0.013,1.514,-0.399,-0.104,1.053,-1.592,-0.393,-0.631,0.000,0.000,0.000,0.000
0.250,0.698,-0.014,1.525,-0.415,-0.108,1.047,-1.583,-0.388,-0.656,0.000,0.000,0.000,0.000
0.260,0.693,-0.015,1.535,-0.430,-0.111,1.040,-1.574,-0.383,-0.681,0.000,0.000,0.000,0.000
0.270,0.689,-0.016,1.546,-0.446,-0.115,1.034,-1.564,-0.378,-0.706,0.000,0.000,0.000,0.000
0.280,0.685,-0.017,1.556,-0.462,-0.119,1.027,-1.555,-0.372,-0.730,0.000,0.000,0.000,0.000
0.290,0.680,-0.018,1.566,-0.477,-0.123,1.019,-1.544,-0.367,-0.755,0.000,0.000,0.000,0.000
0.300,0.675,-0.020,1.576,-0.493,-0.126,1.012,-1.534,-0.361,-0.779,0.000,0.000,0.000,0.000
0.310,0.670,-0.021,1.586,-0.508,-0.130,1.004,-1.523,-0.355,-0.803,0.000,0.000,0.000,0.000
0.320,0.665,-0.022,1.596,-0.524,-0.133,0.996,-1.512,-0.349,-0.827,0.000,0.000,0.000,0.000
0.330,0.659,-0.024,1.606,-0.539,-0.137,0.988,-1.500,-0.342,-0.851,0.000,0.000,0.000,0.000
0.340,0.654,-0.025,1.616,-0.554,-0.140,0.979,-1.488,-0.336,-0.875,0.000,0.000,0.000,0.000
0.350,0.648,-0.026,1.626,-0.569,-0.144,0.971,-1.476,-0.329,-0.898,0.000,0.000,0.000,0.000
0.360,0.643,-0.028,1.636,-0.583,-0.147,0.962,-1.463,-0.322,-0.921,0.000,0.000,0.000,0.000
0.370,0.637,-0.029,1.645,-0.598,-0.150,0.953,-1.450,-0.315,-0.944,0.000,0.000,0.000,0.000
0.380,0.631,-0.031,1.655,-0.613,-0.153,0.943,-1.437,-0.308,-0.967,0.000,0.000,0.000,0.000
0.390,0.624,-0.032,1.664,-0.627,-0.156,0.933,-1.423,-0.301,-0.990,0.000,0.000,0.000,0.000
0.400,0.618,-0.034,1.673,-0.641,-0.159,0.924,-1.409,-0.293,-1.012,0.000,0.000,0.000,0.000
0.410,0.612,-0.036,1.683,-0.655,-0.162,0.914,-1.395,-0.286,-1.034,0.000,0.000,0.000,0.000
0.420,0.605,-0.037,1.692,-0.669,-0.165,0.903,-1.380,-0.278,-1.056,0.000,0.000,0.000,0.000
0.430,0.598,-0.039,1.701,-0.683,-0.168,0.893,-1.365,-0.270,-1.078,0.000,0.000,0.000,0.000
0.440,0.591,-0.041,1.709,-0.697,-0.170,0.882,-1.350,-0.262,-1.099,0.000,0.000,0.000,0.000
0.450,0.584,-0.042,1.718,-0.711,-0.173,0.871,-1.335,-0.254,-1.120,0.000,0.000,0.000,0.000
0.460,0.577,-0.044,1.727,-0.724,-0.176,0.860,-1.319,-0.245,-1.141,0.000,0.000,0.000,0.000
0.470,0.570,-0.046,1.735,-0.737,-0.178,0.849,-1.302,-0.237,-1.161,0.000,0.000,0.000,0.000
0.480,0.562,-0.048,1.744,-0.750,-0.180,0.837,-1.286,-0.228,-1.181,0.000,0.000,0.000,0.000
0.490,0.555,-0.049,1.752,-0.763,-0.183,0.825,-1.269,-0.219,-1.201,0.000,0.000,0.000,0.000
0.500,0.547,-0.051,1.760,-0.776,-0.185,0.813,-1.252,-0.210,-1.221,0.000,0.000,0.000,0.000
0.510,0.539,-0.053,1.768,-0.788,-0.187,0.801,-1.234,-0.201,-1.240,0.000,0.000,0.000,0.000
0.520,0.531,-0.055,1.776,-0.801,-0.189,0.789,-1.216,-0.192,-1.259,0.000,0.000,0.000,0.000
0.530,0.523,-0.057,1.784,-0.813,-0.191,0.776,-1.198,-0.183,-1.278,0.000,0.000,0.000,0.000
0.540,0.515,-0.059,1.792,-0.825,-0.192,0.763,-1.180,-0.173,-1.297,0.000,0.000,0.000,0.000
0.550,0.507,-0.061,1.799,-0.837,-0.194,0.750,-1.161,-0.164,-1.315,0.000,0.000,0.000,0.000
0.560,0.498,-0.063,1.807,-0.849,-0.196,0.737,-1.142,-0.154,-1.333,0.000,0.000,0.000,0.000
0.570,0.490,-0.065,1.814,-0.860,-0.197,0.724,-1.123,-0.144,-1.350,0.000,0.000,0.000,0.000
0.580,0.481,-0.067,1.821,-0.871,-0.199,0.711,-1.104,-0.134,-1.367,0.000,0.000,0.000,0.000
0.590,0.472,-0.069,1.828,-0.882,-0.200,0.697,-1.084,-0.124,-1.384,0.000,0.000,0.000,0.000
0.600,0.464,-0.071,1.835,-0.893,-0.201,0.683,-1.064,-0.114,-1.401,0.000,0.000,0.000,0.000
0.610,0.455,-0.073,1.842,-0.904,-0.202,0.669,-1.044,-0.104,-1.417,0.000,0.000,0.000,0.000
0.620,0.445,-0.075,1.849,-0.914,-0.203,0.655,-1.023,-0.094,-1.432,0.000,0.000,0.000,0.000
0.630,0.436,-0.077,1.855,-0.925,-0.204,0.641,-1.002,-0.083,-1.448,0.000,0.000,0.000,0.000
0.640,0.427,-0.079,1.862,-0.935,-0.205,0.626,-0.981,-0.073,-1.463,0.000,0.000,0.000,0.000
0.650,0.418,-0.081,1.868,-0.945,-0.206,0.612,-0.960,-0.062,-1.478,0.000,0.000,0.000,0.000
0.660,0.408,-0.083,1.874,-0.954,-0.206,0.597,-0.939,-0.052,-1.492,0.000,0.000,0.000,0.000
0.670,0.399,-0.085,1.880,-0.964,-0.207,0.582,-0.917,-0.041,-1.506,0.000,0.000,0.000,0.000
0.680,0.389,-0.087,1.885,-0.973,-0.207,0.567,-0.895,-0.030,-1.520,0.000,0.000,0.000,0.000
0.690,0.379,-0.089,1.891,-0.982,-0.207,0.552,-0.873,-0.019,-1.533,0.000,0.000,0.000,0.000
0.700,0.369,-0.091,1.896,-0.991,-0.207,0.537,-0.850,-0.008,-1.546,0.000,0.000,0.000,0.000
0.710,0.359,-0.093,1.902,-0.999,-0.208,0.521,-0.828,0.002,-1.558,0.000,0.000,0.000,0.000
0.720,0.349,-0.095,1.907,-1.008,-0.207,0.506,-0.805,0.013,-1.570,0.000,0.000,0.000,0.000
0.730,0.339,-0.097,1.912,-1.016,-0.207,0.490,-0.782,0.024,-1.582,0.000,0.000,0.000,0.000
0.740,0.329,-0.099,1.917,-1.024,-0.207,0.474,-0.758,0.036,-1.593,0.000,0.000,0.000,0.000
0.750,0.319,-0.101,1.921,-1.031,-0.207,0.458,-0.735,0.047,-1.604,0.000,0.000,0.000,0.000
0.760,0.308,-0.104,1.926,-1.039,-0.206,0.442,-0.711,0.058,-1.615,0.000,0.000,0.000,0.000
0.770,0.298,-0.106,1.930,-1.046,-0.205,0.426,-0.687,0.069,-1.625,0.000,0.000,0.000,0.000
0.780,0.287,-0.108,1.934,-1.053,-0.205,0.410,-0.663,0.080,-1.635,0.000,0.000,0.000,0.000
0.790,0.277,-0.110,1.938,-1.059,-0.204,0.393,-0.639,0.092,-1.644,0.000,0.000,0.000,0.000
0.800,0.266,-0.112,1.942,-1.066,-0.203,0.377,-0.615,0.103,-1.653,0.000,0.000,0.000,0.000
0.810,0.255,-0.114,1.946,-1.072,-0.202,0.361,-0.590,0.114,-1.661,0.000,0.000,0.000,0.000
0.820,0.245,-0.116,1.949,-1.078,-0.201,0.344,-0.566,0.125,-1.669,0.000,0.000,0.000,0.000
0.830,0.234,-0.118,1.953,-1.084,-0.199,0.327,-0.541,0.137,-1.677,0.000,0.000,0.000,0.000
0.840,0.223,-0.120,1.956,-1.089,-0.198,0.311,-0.516,0.148,-1.684,0.000,0.000,0.000,0.000
0.850,0.212,-0.122,1.959,-1.094,-0.196,0.294,-0.491,0.159,-1.691,0.000,0.000,0.000,0.000
0.860,0.201,-0.124,1.962,-1.099,-0.195,0.277,-0.466,0.171,-1.697,0.000,0.000,0.000,0.000
0.870,0.190,-0.126,1.965,-1.104,-0.193,0.260,-0.440,0.182,-1.703,0.000,0.000,0.000,0.000
0.880,0.179,-0.128,1.967,-1.108,-0.191,0.243,-0.415,0.193,-1.709,0.000,0.000,0.000,0.000
0.890,0.168,-0.129,1.969,-1.113,-0.189,0.226,-0.389,0.204,-1.714,0.000,0.000,0.000,0.000
0.900,0.157,-0.131,1.972,-1.117,-0.187,0.209,-0.364,0.216,-1.719,0.000,0.000,0.000,0.000
0.910,0.146,-0.133,1.974,-1.120,-0.185,0.191,-0.338,0.227,-1.723,0.000,0.000,0.000,0.000
0.920,0.134,-0.135,1.975,-1.124,-0.183,0.174,-0.312,0.238,-1.727,0.000,0.000,0.000,0.000
0.930,0.123,-0.137,1.977,-1.127,-0.180,0.157,-0.286,0.249,-1.730,0.000,0.000,0.000,0.000
0.940,0.112,-0.139,1.979,-1.130,-0.178,0.140,-0.260,0.260,-1.733,0.000,0.000,0.000,0.000
0.950,0.101,-0.140,1.980,-1.132,-0.175,0.122,-0.234,0.271,-1.735,0.000,0.000,0.000,0.000
0.960,0.089,-0.142,1.981,-1.135,-0.172,0.105,-0.207,0.282,-1.737,0.000,0.000,0.000,0.000
0.970,0.078,-0.144,1.982,-1.137,-0.169,0.088,-0.181,0.293,-1.739,0.000,0.000,0.000,0.000
0.980,0.067,-0.145,1.983,-1.139,-0.166,0.070,-0.155,0.304,-1.740,0.000,0.000,0.000,0.000
0.990,0.055,-0.147,1.983,-1.140,-0.163,0.053,-0.128,0.315,-1.741,0.000,0.000,0.000,0.000
1.000,0.044,-0.149,1.984,-1.142,-0.160,0.036,-0.102,0.326,-1.741,0.000,0.000,0.000,0.000
1.010,0.032,-0.150,1.984,-1.143,-0.157,0.018,-0.075,0.336,-1.741,0.000,0.000,0.000,0.000
1.020,0.021,-0.152,1.984,-1.144,-0.153,0.001,-0.048,0.347,-1.740,0.000,0.000,0.000,0.000
1.030,0.009,-0.153,1.984,-1.144,-0.150,-0.017,-0.022,0.358,-1.739,0.000,0.000,0.000,0.000
1.040,-0.002,-0.155,1.984,-1.144,-0.146,-0.034,0.005,0.368,-1.738,0.000,0.000,0.000,0.000
1.050,-0.013,-0.156,1.983,-1.145,-0.142,-0.051,0.031,0.378,-1.736,0.000,0.000,0.000,0.000
1.060,-0.025,-0.158,1.983,-1.144,-0.139,-0.069,0.058,0.389,-1.734,0.000,0.000,0.000,0.000
