t,x,y,z,yaw
0.000,0.000,0.000,0.000,0.000
0.680,0.213,0.213,0.213,-0.000
1.370,0.395,0.395,0.395,-0.000
2.060,0.493,0.493,0.493,-0.000
2.750,0.467,0.467,0.467,-0.000
3.440,0.303,0.303,0.303,-0.000
4.130,0.032,0.032,0.032,-0.000
4.820,-0.265,-0.265,-0.265,-0.000
5.510,-0.469,-0.469,-0.469,-0.001
6.200,-0.472,-0.472,-0.472,-0.001
6.890,-0.239,-0.239,-0.239,-0.000
7.580,0.137,0.137,0.137,-0.000
8.270,0.445,0.445,0.445,-0.003
8.960,0.461,0.461,0.461,-0.004
9.650,0.128,0.128,0.128,-0.000
10.340,-0.326,-0.326,-0.326,-0.002
11.030,-0.493,-0.493,-0.493,-0.005
11.720,-0.159,-0.159,-0.159,-0.001
12.410,0.366,0.366,0.366,-0.007
13.100,0.448,0.448,0.448,-0.015
13.790,-0.084,-0.084,-0.084,-0.000
14.480,-0.499,-0.499,-0.499,-0.014
15.170,-0.095,-0.095,-0.095,-0.001
15.860,0.484,0.484,0.484,-0.050
16.550,0.111,0.111,0.111,-0.002
17.240,-0.497,-0.497,-0.497,-0.028
17.930,0.054,0.054,0.054,-0.001
18.620,0.456,0.456,0.456,-0.127
19.310,-0.375,-0.375,-0.375,-0.030
20.000,-0.092,-0.092,-0.092,-0.004
