t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,yaw
0.000,0.000,0.000,1.250,0.314,0.314,0.314,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000
0.010,0.003,0.003,1.253,0.314,0.314,0.314,-0.001,-0.001,-0.001,0.000,0.000,0.000,0.000
0.020,0.006,0.006,1.256,0.314,0.314,0.314,-0.002,-0.002,-0.002,0.000,0.000,0.000,0.000
0.030,0.009,0.009,1.259,0.314,0.314,0.314,-0.004,-0.004,-0.004,0.000,0.000,0.000,0.000
0.040,0.013,0.013,1.263,0.314,0.314,0.314,-0.005,-0.005,-0.005,0.000,0.000,0.000,0.000
0.050,0.016,0.016,1.266,0.314,0.314,0.314,-0.006,-0.006,-0.006,0.000,0.000,0.000,0.000
0.060,0.019,0.019,1.269,0.314,0.314,0.314,-0.007,-0.007,-0.007,0.000,0.000,0.000,0.000
0.070,0.022,0.022,1.272,0.314,0.314,0.314,-0.009,-0.009,-0.009,0.000,0.000,0.000,0.000
0.080,0.025,0.025,1.275,0.314,0.314,0.314,-0.010,-0.010,-0.010,0.000,0.000,0.000,0.000
0.090,0.028,0.028,1.278,0.314,0.314,0.314,-0.011,-0.011,-0.011,0.000,0.000,0.000,0.000
0.100,0.031,0.031,1.281,0.314,0.314,0.314,-0.012,-0.012,-0.012,0.000,0.000,0.000,0.000
0.110,0.035,0.035,1.285,0.314,0.314,0.314,-0.014,-0.014,-0.014,0.000,0.000,0.000,0.000
0.120,0.038,0.038,1.288,0.314,0.314,0.314,-0.015,-0.015,-0.015,0.000,0.000,0.000,0.000
0.130,0.041,0.041,1.291,0.314,0.314,0.314,-0.016,-0.016,-0.016,0.000,0.000,0.000,0.000
0.140,0.044,0.044,1.294,0.314,0.314,0.314,-0.018,-0.018,-0.018,0.000,0.000,0.000,0.000
0.150,0.047,0.047,1.297,0.314,0.314,0.314,-0.019,-0.019,-0.019,0.000,0.000,0.000,0.000
0.160,0.050,0.050,1.300,0.314,0.314,0.314,-0.020,-0.020,-0.020,0.000,0.000,0.000,0.000
0.170,0.053,0.053,1.303,0.314,0.314,0.314,-0.021,-0.021,-0.021,0.000,0.000,0.000,0.000
0.180,0.057,0.057,1.307,0.314,0.314,0.314,-0.023,-0.023,-0.023,0.000,0.000,0.000,0.000
0.190,0.060,0.060,1.310,0.314,0.314,0.314,-0.024,-0.024,-0.024,0.000,0.000,0.000,0.000
0.200,0.063,0.063,1.313,0.313,0.313,0.313,-0.025,-0.025,-0.025,0.000,0.000,0.000,0.000
0.210,0.066,0.066,1.316,0.313,0.313,0.313,-0.026,-0.026,-0.026,0.000,0.000,0.000,0.000
0.220,0.069,0.069,1.319,0.313,0.313,0.313,-0.028,-0.028,-0.028,0.000,0.000,0.000,0.000
