t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,yaw
0.000,0.024,0.901,1.144,0.000,0.000,0.000,4.067,-6.439,1.245,0.000,0.000,0.000,0.000
0.010,0.024,0.901,1.144,0.040,-0.064,0.012,4.000,-6.325,1.226,0.000,0.000,0.000,0.000
0.020,0.024,0.900,1.144,0.080,-0.127,0.025,3.934,-6.212,1.206,0.000,0.000,0.000,0.000
0.030,0.025,0.898,1.145,0.119,-0.188,0.036,3.867,-6.099,1.187,0.000,0.000,0.000,0.000
0.040,0.027,0.896,1.145,0.157,-0.248,0.048,3.801,-5.986,1.167,0.000,0.000,0.000,0.000
0.050,0.029,0.893,1.146,0.195,-0.308,0.060,3.734,-5.873,1.148,0.000,0.000,0.000,0.000
0.060,0.031,0.890,1.146,0.232,-0.366,0.071,3.668,-5.760,1.128,0.000,0.000,0.000,0.000
0.070,0.033,0.886,1.147,0.268,-0.423,0.082,3.601,-5.647,1.109,0.000,0.000,0.000,0.000
0.080,0.036,0.881,1.148,0.304,-0.479,0.093,3.535,-5.534,1.089,0.000,0.000,0.000,0.000
0.090,0.039,0.876,1.149,0.339,-0.534,0.104,3.468,-5.421,1.070,0.000,0.000,0.000,0.000
0.100,0.043,0.871,1.150,0.373,-0.587,0.115,3.402,-5.308,1.050,0.000,0.000,0.000,0.000
0.110,0.047,0.864,1.151,0.407,-0.640,0.125,3.335,-5.195,1.031,0.000,0.000,0.000,0.000
0.120,0.051,0.858,1.153,0.440,-0.691,0.135,3.269,-5.082,1.011,0.000,0.000,0.000,0.000
0.130,0.056,0.851,1.154,0.472,-0.742,0.145,3.202,-4.969,0.992,0.000,0.000,0.000,0.000
0.140,0.060,0.843,1.155,0.504,-0.791,0.155,3.136,-4.856,0.972,0.000,0.000,0.000,0.000
0.150,0.066,0.835,1.157,0.535,-0.839,0.165,3.069,-4.743,0.953,0.000,0.000,0.000,0.000
0.160,0.071,0.826,1.159,0.566,-0.885,0.174,3.003,-4.630,0.933,0.000,0.000,0.000,0.000
0.170,0.077,0.817,1.161,0.595,-0.931,0.184,2.936,-4.517,0.913,0.000,0.000,0.000,0.000
0.180,0.083,0.808,1.162,0.624,-0.976,0.193,2.869,-4.404,0.894,0.000,0.000,0.000,0.000
0.190,0.089,0.798,1.164,0.653,-1.019,0.201,2.803,-4.291,0.874,0.000,0.000,0.000,0.000
0.200,0.096,0.787,1.166,0.680,-1.062,0.210,2.736,-4.178,0.855,0.000,0.000,0.000,0.000
0.210,0.103,0.776,1.169,0.707,-1.103,0.218,2.670,-4.065,0.835,0.000,0.000,0.000,0.000
0.220,0.110,0.765,1.171,0.734,-1.143,0.227,2.603,-3.952,0.816,0.000,0.000,0.000,0.000
0.230,0.118,0.754,1.173,0.759,-1.182,0.235,2.537,-3.839,0.796,0.000,0.000,0.000,0.000
0.240,0.125,0.742,1.176,0.784,-1.220,0.243,2.470,-3.726,0.777,0.000,0.000,0.000,0.000
0.250,0.133,0.729,1.178,0.809,-1.256,0.250,2.404,-3.613,0.757,0.000,0.000,0.000,0.000
0.260,0.142,0.716,1.181,0.833,-1.292,0.258,2.337,-3.500,0.738,0.000,0.000,0.000,0.000
0.270,0.150,0.703,1.183,0.856,-1.326,0.265,2.271,-3.387,0.718,0.000,0.000,0.000,0.000
0.280,0.159,0.690,1.186,0.878,-1.360,0.272,2.204,-3.274,0.699,0.000,0.000,0.000,0.000
0.290,0.168,0.676,1.189,0.900,-1.392,0.279,2.138,-3.161,0.679,0.000,0.000,0.000,0.000
0.300,0.177,0.662,1.191,0.921,-1.423,0.286,2.071,-3.048,0.660,0.000,0.000,0.000,0.000
0.310,0.186,0.648,1.194,0.941,-1.453,0.292,2.005,-2.935,0.640,0.000,0.000,0.000,0.000
0.320,0.196,0.633,1.197,0.961,-1.482,0.299,1.938,-2.822,0.621,0.000,0.000,0.000,0.000
0.330,0.205,0.618,1.200,0.980,-1.509,0.305,1.872,-2.709,0.601,0.000,0.000,0.000,0.000
0.340,0.215,0.603,1.203,0.998,-1.536,0.311,1.805,-2.596,0.582,0.000,0.000,0.000,0.000
0.350,0.225,0.587,1.206,1.016,-1.561,0.316,1.739,-2.483,0.562,0.000,0.000,0.000,0.000
0.360,0.235,0.572,1.210,1.033,-1.585,0.322,1.672,-2.370,0.543,0.000,0.000,0.000,0.000
0.370,0.246,0.556,1.213,1.049,-1.609,0.327,1.606,-2.257,0.523,0.000,0.000,0.000,0.000
0.380,0.256,0.539,1.216,1.065,-1.631,0.332,1.539,-2.144,0.503,0.000,0.000,0.000,0.000
0.390,0.267,0.523,1.220,1.080,-1.651,0.337,1.472,-2.031,0.484,0.000,0.000,0.000,0.000
0.400,0.278,0.506,1.223,1.095,-1.671,0.342,1.406,-1.918,0.464,0.000,0.000,0.000,0.000
0.410,0.289,0.490,1.226,1.108,-1.690,0.347,1.339,-1.804,0.445,0.000,0.000,0.000,0.000
0.420,0.300,0.473,1.230,1.121,-1.707,0.351,1.273,-1.691,0.425,0.000,0.000,0.000,0.000
0.430,0.311,0.455,1.233,1.134,-1.724,0.355,1.206,-1.578,0.406,0.000,0.000,0.000,0.000
0.440,0.323,0.438,1.237,1.145,-1.739,0.359,1.140,-1.465,0.386,0.000,0.000,0.000,0.000
0.450,0.334,0.421,1.241,1.157,-1.753,0.363,1.073,-1.352,0.367,0.000,0.000,0.000,0.000
0.460,0.346,0.403,1.244,1.167,-1.766,0.366,1.007,-1.239,0.347,0.000,0.000,0.000,0.000
