t,x,y,z,yaw
0.000,0.000,0.000,0.500,0.000
0.657,0.775,0.000,0.500,0.000
1.303,1.000,0.000,0.500,0.000
1.970,1.000,0.000,0.500,0.000
2.616,1.000,0.710,0.500,0.000
3.273,1.000,1.000,0.500,0.000
3.929,1.000,1.000,0.500,0.000
4.586,0.342,1.000,0.500,0.000
5.232,0.000,1.000,0.500,0.000
5.899,0.000,1.000,0.500,0.000
6.545,0.000,0.415,0.500,0.000
7.202,0.000,0.000,0.500,0.000
7.859,0.000,0.000,0.500,0.000
8.515,0.000,0.000,1.028,0.000
9.162,0.000,0.000,1.500,0.000
9.828,0.000,0.000,1.500,0.000
10.475,0.453,0.000,1.500,0.000
11.131,1.000,0.000,1.500,0.000
11.788,1.000,0.000,1.500,0.000
12.444,1.000,0.397,1.500,0.000
13.091,1.000,1.000,1.500,0.000
13.758,1.000,1.000,1.500,0.000
14.404,0.676,1.000,1.500,0.000
15.061,0.000,1.000,1.500,0.000
15.717,0.000,1.000,1.500,0.000
16.374,0.000,0.727,1.500,0.000
17.020,0.000,0.000,1.500,0.000
17.687,0.000,0.000,1.500,0.000
18.333,0.000,0.000,1.290,0.000
19.000,0.000,0.000,0.500,0.000
