# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,0.999613,0.000000,-0.000000,-1.524362,-0.192382,0.593444,0.594753,-0.426820,-0.000027,-0.000000,0.000000,-0.197725,-0.010633,0.091088,0.082081,-0.063008,1.500178,0.000000,-0.000000,1.048312,0.022568,-0.511332,-0.439119,0.353473,-0.003071,0.000000,0.000000,0.006222,0.000236,-0.002944,-0.002587,0.002037
1.000000,0.044246,-1.794616,0.165139,0.596915,0.152952,-0.087678,-0.172466,0.089336,-0.098224,-0.128836,0.161954,0.106962,0.009117,-0.039798,-0.041166,0.028954,1.974080,0.518146,-0.996830,-0.385569,0.117670,0.281264,0.189919,-0.185678,-0.000108,0.003623,-0.005395,-0.002729,0.000273,0.001515,0.001247,-0.001013
1.000000,-1.006172,0.090381,1.285877,0.009372,-0.090744,-0.192567,-0.116684,0.124815,-0.001038,0.309111,0.130086,-0.064509,-0.069072,-0.041938,0.000897,0.019402,1.513003,-0.915450,0.314678,0.197412,0.062923,-0.050054,-0.083849,0.048419,-0.002588,-0.006300,0.000628,0.002982,0.001823,0.000306,-0.000747,-0.000034
1.000000,0.104279,1.538043,-0.285282,-0.244427,-0.195876,-0.033479,0.079084,-0.009227,0.282939,0.030972,-0.476363,-0.063180,0.034001,0.091199,0.061688,-0.059889,1.087083,0.143406,0.542981,-0.033748,-0.064987,-0.092746,-0.046250,0.058098,-0.003930,0.008004,0.011652,-0.002801,-0.004521,-0.003640,-0.000790,0.002054
1.000000,0.953115,-0.306784,-1.536107,-0.103968,0.197858,0.337741,0.189821,-0.212498,-0.098632,-0.568387,0.117750,0.122465,0.081885,0.011006,-0.034609,0.005218,1.593838,0.533633,-0.349338,-0.112729,-0.015991,0.060864,0.062112,-0.047625,0.006028,-0.003737,-0.028982,-0.001180,0.005941,0.007921,0.003883,-0.004883
1.000000,-0.480820,-1.559319,1.101417,0.423883,0.094855,-0.183786,-0.215329,0.150129,-0.363303,0.245952,0.676962,0.050520,-0.110551,-0.174269,-0.094481,0.107889,1.724764,-0.223576,-0.243271,0.007323,0.059654,0.070118,0.026935,-0.041120,-0.015010,-0.012758,0.038029,0.008538,-0.003748,-0.009816,-0.006766,0.006529
1.000000,-0.668969,1.134587,1.027115,-0.086618,-0.259343,-0.291754,-0.118124,0.167312,0.338719,0.626225,-0.729015,-0.247868,-0.006292,0.158576,0.144628,-0.116061,1.380826,-0.225174,0.378306,0.046616,-0.026831,-0.079949,-0.059939,0.055242,0.004998,0.029947,-0.021391,-0.011427,-0.001363,0.005092,0.005321,-0.003907
1.000000,0.904206,0.895263,-1.964640,-0.548083,0.093027,0.496746,0.393831,-0.343987,0.168913,-0.752355,-0.192468,0.143156,0.119820,0.071268,-0.001408,-0.031047,1.469098,0.191279,-0.181323,-0.125508,0.019235,0.086373,0.066277,-0.059196,0.007270,-0.022533,-0.015170,0.003704,0.004728,0.004414,0.001394,-0.002383
1.000000,-0.073636,-1.867350,0.600473,0.628560,0.173373,-0.152690,-0.231786,0.140541,-0.474121,-0.097977,0.995504,0.220328,-0.093880,-0.279803,-0.200909,0.186065,1.466234,-0.055800,0.172320,0.068824,-0.009713,-0.047883,-0.040948,0.031916,-0.018577,-0.009099,0.039310,0.011222,-0.002264,-0.010599,-0.008254,0.007256
1.000000,-0.782516,0.742383,1.474046,0.078343,-0.237093,-0.422471,-0.253623,0.263006,0.255206,0.876474,-0.811107,-0.459146,-0.022275,0.258336,0.247041,-0.190352,1.584950,0.194767,-0.102305,-0.150766,-0.029767,0.049385,0.057440,-0.040033,0.008995,0.042402,-0.018040,-0.014957,-0.002864,0.005627,0.006682,-0.004641
1.000000,0.862074,1.184077,-2.219416,-0.961988,0.055254,0.717334,0.624700,-0.505508,0.154177,-0.770815,-0.030609,0.313620,0.088540,-0.042406,-0.088445,0.045820,1.563670,-0.269879,-0.218459,-0.028355,0.067696,0.111441,0.063942,-0.068400,0.023204,-0.014263,-0.021051,0.001069,0.001825,0.003656,0.002139,-0.002312
1.000000,-0.243474,-2.123394,1.154307,1.233578,0.173787,-0.502196,-0.557863,0.389644,-0.330119,0.041023,0.652967,0.078510,-0.055017,-0.169064,-0.124252,0.111977,1.221656,-0.059024,0.739783,0.241661,-0.062756,-0.243806,-0.193206,0.161676,-0.005733,-0.030923,0.013214,0.006811,0.002237,-0.002754,-0.003734,0.002514
1.000000,-0.475610,1.450458,0.690399,-0.612929,-0.245244,-0.058796,0.082062,-0.000999,0.206027,0.555431,-0.644497,-0.398030,-0.022302,0.240652,0.235945,-0.176205,1.805983,0.647965,-0.852727,-0.652885,-0.034859,0.379325,0.369811,-0.276875,-0.018368,0.006310,0.016312,0.001525,-0.000443,-0.003028,-0.002378,0.002115
1.000000,0.829340,0.202889,-1.997870,-0.575607,0.097713,0.628575,0.533109,-0.428916,-0.002979,-0.631367,0.272986,0.470998,0.064277,-0.190238,-0.215433,0.146107,1.385740,-0.978207,0.505520,0.706549,0.103938,-0.272507,-0.315141,0.209861,0.002044,0.027133,-0.003311,-0.004072,-0.001788,0.001122,0.002126,-0.001245
1.000000,-0.710768,-1.789707,2.136728,1.751107,0.174952,-0.953687,-1.000322,0.704327,-0.085649,0.363671,0.006025,-0.369172,-0.055953,0.119443,0.146686,-0.092888,1.345752,0.783877,0.203688,-0.560458,-0.148214,0.108666,0.185719,-0.104344,0.022008,0.010788,-0.009304,-0.001078,-0.001104,0.001000,0.001460,-0.001016
1.000000,0.312632,2.596806,-1.311065,-2.440947,-0.415848,0.961743,1.154704,-0.746901,0.032162,-0.128497,0.006853,0.284074,0.032234,-0.107223,-0.122482,0.078919,1.814686,-0.155740,-0.685743,-0.004305,0.047119,0.163918,0.126791,-0.109667,0.022754,-0.008823,-0.008600,-0.001853,0.001389,0.003710,0.002782,-0.002296
