# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,0.749610,0.000000,0.000000,-0.518116,-0.085277,0.181167,0.193866,-0.134532,-0.000029,0.000000,0.000000,-0.133321,-0.017464,0.051467,0.052085,-0.036996,1.500423,-0.000000,0.000000,0.793862,0.047802,-0.358718,-0.324565,0.251397,-0.001035,0.000000,-0.000000,0.002178,0.000010,-0.001091,-0.000913,0.000753
1.000000,0.386718,-0.768151,-0.171528,0.121136,0.042763,0.005294,-0.025000,0.005490,-0.084257,-0.158940,0.014299,0.058357,0.018321,-0.005322,-0.015270,0.007155,1.910201,0.591589,-0.507932,-0.294534,0.031416,0.151374,0.120787,-0.105867,-0.000099,0.000909,-0.002207,-0.000611,0.000409,0.000662,0.000379,-0.000421
1.000000,-0.403277,-0.661844,0.241692,0.037283,0.063474,0.006074,-0.029363,0.008994,-0.165657,0.049867,0.167278,0.023438,-0.002601,-0.023583,-0.018172,0.016195,1.897033,-0.441691,-0.100700,0.055268,0.024733,0.005687,-0.013407,0.001675,-0.000979,-0.001067,0.001875,0.000489,-0.000086,-0.000395,-0.000312,0.000266
1.000000,-0.736966,0.104437,0.543557,0.079452,-0.025817,-0.092571,-0.064224,0.062416,0.046765,0.330752,0.053673,-0.019408,-0.041304,-0.027651,-0.001370,0.011930,1.428598,-0.418640,0.104437,0.001551,0.043183,0.015627,-0.011576,-0.002189,-0.000209,0.001820,-0.000221,-0.000738,-0.000478,-0.000097,0.000178,0.000019
1.000000,-0.129717,0.915349,0.048672,-0.049450,-0.086033,-0.047357,0.007557,0.016465,0.353387,0.151693,-0.298907,-0.070990,-0.009492,0.043926,0.042417,-0.033620,1.160991,-0.039023,0.304854,0.022428,-0.013544,-0.048755,-0.036489,0.033890,0.000274,-0.002034,-0.003209,0.000597,0.001198,0.001066,0.000307,-0.000619
1.000000,0.675484,0.444019,-0.630329,-0.139734,-0.018868,0.096609,0.093087,-0.074566,0.178413,-0.458272,-0.199347,0.001921,0.056353,0.060414,0.021333,-0.032522,1.384352,0.358314,-0.032323,-0.062931,-0.024076,0.008156,0.019641,-0.010332,-0.002420,0.000972,0.008042,0.000536,-0.001806,-0.002482,-0.001255,0.001546
1.000000,0.445702,-0.791706,-0.366228,0.002811,0.091352,0.104963,0.040394,-0.057440,-0.371706,-0.423375,0.385713,0.119872,0.027318,-0.060347,-0.066891,0.049424,1.640801,0.094873,-0.206370,-0.046480,0.017726,0.055237,0.037252,-0.037260,0.003134,0.002324,-0.012359,-0.002485,0.001959,0.003837,0.002410,-0.002490
1.000000,-0.530151,-0.785221,0.639614,0.215321,0.050096,-0.108282,-0.121481,0.089183,-0.339992,0.459825,0.340305,0.017695,-0.062988,-0.092584,-0.046340,0.054462,1.555779,-0.147528,0.089227,0.017719,0.010626,-0.004324,-0.012459,0.005106,-0.003670,-0.005799,0.014169,0.004772,-0.001610,-0.004710,-0.003404,0.003154
1.000000,-0.550922,0.694336,0.553953,0.024656,-0.092506,-0.145603,-0.076957,0.086387,0.330381,0.581837,-0.461788,-0.180742,-0.034694,0.091979,0.099971,-0.073971,1.514146,0.065953,0.083234,-0.053497,-0.023214,-0.006624,0.003348,0.000928,0.002902,0.008516,-0.013109,-0.006470,0.000879,0.004713,0.003822,-0.003245
1.000000,0.493345,0.921143,-0.723362,-0.316979,-0.065268,0.154321,0.172178,-0.125069,0.352973,-0.480822,-0.346229,0.010683,0.064003,0.090099,0.044455,-0.052323,1.584272,-0.027471,-0.213094,-0.113181,0.014976,0.088498,0.069178,-0.060361,-0.001994,-0.009821,0.009055,0.007022,0.000192,-0.003633,-0.003424,0.002629
1.000000,0.510308,-0.808407,-0.566492,0.031282,0.106829,0.147075,0.072421,-0.084200,-0.317160,-0.534251,0.538875,0.225484,0.026716,-0.135497,-0.136510,0.103573,1.342816,-0.298265,0.192296,0.102639,0.032952,-0.024526,-0.041139,0.023369,0.000028,0.009823,-0.001194,-0.004985,-0.001136,0.001103,0.001634,-0.000980
1.000000,-0.591184,-0.839728,0.957192,0.430767,0.057649,-0.248932,-0.255888,0.190725,-0.228770,0.555285,0.148049,-0.127748,-0.061679,-0.019020,0.018055,0.001608,1.330143,0.320170,0.326322,-0.015691,-0.056834,-0.073548,-0.038094,0.040265,0.004293,-0.003605,-0.008007,-0.000120,0.001135,0.002156,0.001359,-0.001341
1.000000,-0.299401,1.152634,0.272962,-0.270351,-0.140840,-0.043684,0.038797,0.002713,0.285780,0.245906,-0.490886,-0.147299,-0.003581,0.127440,0.118546,-0.092866,1.832734,0.383962,-0.523068,-0.331096,-0.042635,0.185019,0.190468,-0.141129,-0.004131,-0.005893,0.012225,0.006220,0.000067,-0.004252,-0.003969,0.003043
1.000000,0.712830,0.357498,-1.181044,-0.399659,-0.014365,0.322713,0.304257,-0.233038,0.043039,-0.493676,0.148125,0.233372,0.047185,-0.083462,-0.105174,0.068505,1.554253,-0.746007,-0.028677,0.218381,0.088743,0.002474,-0.048456,0.014915,0.003310,0.013713,-0.006863,-0.008905,-0.001403,0.003674,0.004227,-0.002871
1.000000,-0.130809,-1.453189,0.430969,0.698810,0.188449,-0.209967,-0.302082,0.186403,-0.142087,0.122606,0.157711,-0.118335,-0.027819,0.005977,0.022569,-0.008064,1.055626,0.032793,0.770037,0.150991,-0.030322,-0.185577,-0.156527,0.124006,0.004882,-0.008707,-0.002149,0.006267,0.001291,-0.001413,-0.002109,0.001210
1.000000,-0.591415,0.701470,0.941660,-0.164589,-0.122527,-0.165195,-0.083706,0.093251,0.012558,0.080596,-0.135255,-0.000714,0.007013,0.029048,0.024100,-0.019937,1.761029,0.905555,-0.558450,-0.616367,-0.140924,0.259222,0.323072,-0.212050,-0.000728,-0.000286,0.004051,-0.002518,-0.000380,0.000275,0.000514,-0.000211
1.000000,0.608949,0.925460,-1.236541,-0.716988,-0.136031,0.398927,0.455637,-0.306923,-0.002590,-0.013719,0.137993,0.102033,0.000042,-0.070833,-0.069044,0.048482,1.721087,-0.873949,-0.267844,0.451848,0.138673,-0.035547,-0.115904,0.048518,0.000717,0.001721,0.000238,0.001595,0.000460,-0.000168,-0.000368,0.000191
1.000000,-0.007510,-1.662711,0.174759,1.098605,0.316154,-0.280839,-0.453659,0.254630,0.132364,0.139480,-0.281523,-0.290137,-0.044690,0.142051,0.162862,-0.105328,1.066881,-0.032936,0.844581,0.031112,-0.034957,-0.146735,-0.117988,0.095399,0.004384,0.007103,0.004576,0.001054,-0.000653,-0.001564,-0.001123,0.000888
1.000000,-0.560570,0.903504,1.101464,-0.606281,-0.229992,-0.058707,0.082424,0.001430,-0.144921,-0.522609,0.231470,0.522362,0.135418,-0.172003,-0.245838,0.142417,1.705358,0.835926,-0.505609,-0.596849,-0.174125,0.237303,0.331416,-0.199643,0.014665,0.008466,-0.010009,-0.008568,-0.002610,0.003216,0.004520,-0.002761
1.000000,0.633270,0.578632,-1.418028,-0.414809,-0.080660,0.337741,0.372115,-0.250101,-0.053704,0.710963,0.194215,-0.588171,-0.192004,0.100184,0.212081,-0.101899,1.633777,-0.884830,-0.189145,0.720484,0.210122,-0.134464,-0.257473,0.125184,0.006919,-0.023822,-0.009389,0.006924,0.003410,0.000501,-0.001617,0.000347
1.000000,-0.241840,-1.653801,0.560603,1.328730,0.416036,-0.390815,-0.630121,0.338723,0.281663,-0.373029,-0.679158,0.320791,0.130574,0.044076,-0.037405,-0.009423,1.223654,0.397948,0.655166,-0.551688,-0.192178,0.043999,0.162842,-0.060792,-0.016726,-0.012955,0.019884,0.005377,0.002341,-0.003229,-0.004337,0.002814
